Order | Stepsize (1eX) | Bounds (1eX) | Integral | Error | NormConst 
1 | 6 | 0 | 1.40524e-18 | 1.40524e-18 | 7.11625e+17
1 | 6 | 1 | 5.83823e-17 | 5.83823e-17 | 1.71285e+16
1 | 6 | 2 | -1.2576e-16 | -1.2576e-16 | -7.95166e+15
1 | 6 | 3 | -2.00605e-18 | -2.00605e-18 | -4.98492e+17
1 | 6 | 4 | -1.1217e-12 | -1.1217e-12 | -8.91501e+11
1 | 6 | 5 | 1.80299e-11 | 1.80299e-11 | 5.54634e+10
1 | 6 | 6 | 0 | 0 | inf
1 | 6 | 7 | 0 | 0 | inf
1 | 6 | 8 | 0 | 0 | inf
1 | 6 | 9 | 0 | 0 | inf
1 | 6 | 10 | 0 | 0 | inf
2 | 3 | -6 | -4e-06 | -0.0539534 | -250000
2 | 3 | -5 | -4e-05 | -0.0539894 | -25000
2 | 3 | -4 | -0.000399971 | -0.0543494 | -2500.18
2 | 3 | -3 | -0.00397128 | -0.0579207 | -251.808
2 | 3 | -2 | -0.0170313 | -0.0709807 | -58.7155
2 | 3 | -1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 3 | 0 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 3 | 1 | 0.0565413 | 0.0025919 | 17.6862
2 | 3 | 2 | -0.133333 | -0.187283 | -7.5
2 | 3 | 3 | -1.33333 | -1.38728 | -0.75
2 | 3 | 4 | -13.3333 | -13.3873 | -0.075
2 | 3 | 5 | -133.333 | -133.387 | -0.0075
2 | 3 | 6 | -1333.33 | -1333.39 | -0.00075
2 | 3 | 7 | -13333.3 | -13333.4 | -7.5e-05
2 | 3 | 8 | -133333 | -133333 | -7.5e-06
2 | 3 | 9 | -1.33333e+06 | -1.33333e+06 | -7.5e-07
2 | 3 | 10 | -1.33333e+07 | -1.33333e+07 | -7.5e-08
2 | 4 | -6 | -4e-06 | -0.0539534 | -250000
2 | 4 | -5 | -4e-05 | -0.0539894 | -25000
2 | 4 | -4 | -0.000399971 | -0.0543494 | -2500.18
2 | 4 | -3 | -0.00397128 | -0.0579207 | -251.808
2 | 4 | -2 | -0.0170313 | -0.0709807 | -58.7155
2 | 4 | -1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 4 | 0 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 4 | 1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 4 | 2 | 0.0565413 | 0.0025919 | 17.6862
